run_key,source,task,experiment,split,macro_f1,weighted_f1,quiet_precision,quiet_recall,B_precision,B_recall,C_precision,C_recall,M_precision,M_recall,X_precision,X_recall
W48_H24,night,3c,baseline_3c,test,0.349512358996674,0.9060469884406728,0.9863402186951788,0.8690453935077423,,,,,,,,
W48_H24,night,3c,baseline_3c,val,0.3294652453027712,0.8891376934674665,0.9865636874130892,0.8404524224521055,,,,,,,,
W48_H24,night,3c,weighted_3c,test,0.3472349570895412,0.8821777749683498,0.9895138017197892,0.8245059694216057,,,,,,,,
W48_H24,night,3c,weighted_3c,val,0.3454641256821789,0.876176567972879,0.9940775371424349,0.8118176124831171,,,,,,,,
W48_H24,night,3c,weighted_thresholded_3c,test,0.3503598033676536,0.9037613508922868,0.987117790568492,0.8641787050918781,,,,,,,,
W48_H24,night,3c,weighted_thresholded_3c,val,0.3565377788120328,0.8981585583708067,0.991900092344224,0.851000897903132,,,,,,,,
W48_H24,night,5c,baseline_5c,test,0.2196934817595295,0.9132156366683208,0.9849192955714636,0.8842625005956593,0.065510737086477,0.4120599739243807,0.0002432498175626,0.0004297378599054,0.0018785222291797,0.0032467532467532,0.0389610389610389,0.073170731707317
W48_H24,night,5c,baseline_5c,val,0.3069905623183781,0.9034446460026352,0.9860244850335876,0.8672084267077137,0.0005243227497815,0.375,0.056338028169014,0.0306122448979591,0.0,0.0,0.4,1.0
W48_H24,night,5c,weighted_5c,test,0.2314144937184483,0.891568014355303,0.9882215146593112,0.8422645557726403,0.0682650844600071,0.5490221642764016,0.0346132286995515,0.106145251396648,0.0067069081153588,0.0649350649350649,0.0535714285714285,0.073170731707317
W48_H24,night,5c,weighted_5c,val,0.3484534672445686,0.887935202631113,0.9920574514000196,0.8359553613871472,4.808154630252909e-05,0.0416666666666666,0.0203125,0.0110544217687074,0.0,0.0,0.6956521739130435,1.0
W48_H24,night,5c,weighted_thresholded_5c,test,0.2314144937184483,0.891568014355303,0.9882215146593112,0.8422645557726403,0.0682650844600071,0.5490221642764016,0.0346132286995515,0.106145251396648,0.0067069081153588,0.0649350649350649,0.0535714285714285,0.073170731707317
W48_H24,night,5c,weighted_thresholded_5c,val,0.3484534672445686,0.887935202631113,0.9920574514000196,0.8359553613871472,4.808154630252909e-05,0.0416666666666666,0.0203125,0.0110544217687074,0.0,0.0,0.6956521739130435,1.0
